id,code,name,lat,lng,floor
1,GATE-1,main gate,-6.815386735,39.27961066,0
2,GATE-2,Gate recency,-6.814144779,39.27941482,0
3,GATE-3,Gate la canteen,-6.815135409,39.2806738,0
4,JCT-1,stationary juction,-6.815157685,39.27976058,0
5,JCT-2,w7 junction,-6.815005683,39.28009578,0
6,JCT-3,block A junction,-6.814937545,39.27964444,0
7,JCT-4,heritage juction,-6.814796026,39.28028845,0
8,JCT-5,block c juction,-6.81524941,39.28020927,0
9,,library,-6.815115753,39.27962227,0
10,Main Library,VENUE-MAIN-LIB,-6.815115753,39.27962227,G
11,Library 1,VENUE-LIB-1,-6.815115753,39.27962227,G
12,Library 2,VENUE-LIB-2,-6.815115753,39.27962227,1
13,Library 3,VENUE-LIB-3,-6.815115753,39.27962227,1
14,TT,teaching tower,-6.814654508,39.2794655,
15,T10-2,VENUE-T10-2,-6.814654508,39.2794655,2
16,TT-Basement,VENUE-TT-BASEMENT,-6.814654508,39.2794655,B
17,TT-M-1,VENUE-TT-M-1,-6.814654508,39.2794655,1
18,TT-M-2,VENUE-TT-M-2,-6.814654508,39.2794655,2
19,TT10-1-1,VENUE-TT10-1-1,-6.814654508,39.2794655,1
20,TT10-1-2,VENUE-TT10-1-2,-6.814654508,39.2794655,2
21,TT3-1,VENUE-TT3-1,-6.814654508,39.2794655,3
22,TT4-1,VENUE-TT4-1,-6.814654508,39.2794655,4
23,TT4-2,VENUE-TT4-2,-6.814654508,39.2794655,4
24,TT5-1,VENUE-TT5-1,-6.814654508,39.2794655,5
25,TT5-2,VENUE-TT5-2,-6.814654508,39.2794655,5
26,TT8-1,VENUE-TT8-1,-6.814654508,39.2794655,8
27,TT8-2,VENUE-TT8-2,-6.814654508,39.2794655,8
28,TT8-3,VENUE-TT8-3,-6.814654508,39.2794655,8
29,TT9-1,VENUE-TT9-1,-6.814654508,39.2794655,9
30,block A,block A,-6.81502927,39.27932033,
31,A10,VENUE-A10,-6.81502927,39.27932033,3
32,A11,VENUE-A11,-6.81502927,39.27932033,3
33,A2,VENUE-A2,-6.81502927,39.27932033,1
34,A3,VENUE-A3,-6.81502927,39.27932033,1
35,A5,VENUE-A5,-6.81502927,39.27932033,1
36,A6,VENUE-A6,-6.81502927,39.27932033,2
37,A7,VENUE-A7,-6.81502927,39.27932033,2
38,A8,VENUE-A8,-6.81502927,39.27932033,2
39,A9,VENUE-A9,-6.81502927,39.27932033,3
